id,full name,name author,scientific name,family,infrafamily,genus,infragenus,species,infraspecies,hybrid,hybrid genus,rank,reference,published,publishing author,published in id,author team ids,species author team ids,original remarks,bhl page,published in,bibliographic reference,bibliographic type info,citation type,reference collation,collection number,collector team,distribution,end page,geographic unit,in powo,latitude degrees,latitude minutes,latitude seconds,locality,longitude degrees,longitude minutes,longitude seconds,east or west,north or south,name status,name status bot code,name status comment,name status type,name status qualifier,original basionym,original basionym author team,original cited type,original hybrid parentage,original parent citation taxon name author team,original replaced synonym,original replaced synonym author team,original taxon distribution,original taxon name,original taxon name author team,other links,primary pagination,publication author,publication year full,publication year note,publication year text,reference remarks,remarks,secondary pagination,species author,standardised basionym author flag,standardised publication flag,standardised publishing author flag,start page,suppressed,top copy,type locations,type name,type remarks,volume
urn:lsid:ipni.org:names:77098516-1,,Ensermu,Acanthopale aethiogermanica,Acanthaceae,,Acanthopale,,aethiogermanica,,false,false,spec.,"Kew Bull. 64(1): 58 (60-62; fig. 2, map). 2009 [May 2009]",2009,Ensermu,urn:lsid:ipni.org:publications:987-2,Ensermu@14302-1@1@aut,,,,Kew Bull.,,,tax. nov.,"64(1): 58 (60-62; fig. 2, map)",820818-7/4,Puff &amp; Ensermu K.,"Ethiopia (Northeast Tropical Africa, Africa)",,,true,7,35,,"Kefa Region, Jimma Awraja, end of Belete Forest",36,40,,E,N,,,,,,,,,,,,,,,,,,,2009 [May 2009],[May 2009],,,as aethio-germanica,,,,,,,false,true,holotype ETH;isotype K;isotype WU,,,
urn:lsid:ipni.org:names:77080276-1,,Vollesen,Acanthus austromontanus,Acanthaceae,,Acanthus,,austromontanus,,false,false,spec.,"Kew Bull. 62(2): 236 (fig. 1, map 2). 2007 [24 Jul 2007]",2007,Vollesen,urn:lsid:ipni.org:publications:987-2,Vollesen@11256-1@1@aut,,,,Kew Bull.,,,tax. nov.,"62(2): 236 (fig. 1, map 2)",7161,Leedal,"Tanzania (East Tropical Africa, Africa)",,,true,,,,Sunzi Mission,,,,,,,,,,,,,,,,,,,,,,,,2007 [24 Jul 2007],[24 Jul 2007],,,,,,,,,,false,true,holotype K;isotype DSM;isotype K,,,
urn:lsid:ipni.org:names:77080278-1,,Vollesen,Acanthus kulalensis,Acanthaceae,,Acanthus,,kulalensis,,false,false,spec.,"Kew Bull. 62(2): 239 (-241; fig. 2, map 1). 2007 [24 Jul 2007]",2007,Vollesen,urn:lsid:ipni.org:publications:987-2,Vollesen@11256-1@1@aut,,,,Kew Bull.,,,tax. nov.,"62(2): 239 (-241; fig. 2, map 1)",10818,W.R.Q. &amp; P.A. Luke,"Kenya (East Tropical Africa, Africa)",,,true,,,,"Marsabit Distr., Mt Kulal",,,,,,,,,,,,,,,,,,,,,,,,2007 [24 Jul 2007],[24 Jul 2007],,,,,,,,,,false,true,holotype K;isotype BR;isotype CAS;isotype EA;isotype K,,,
urn:lsid:ipni.org:names:77117681-1,,P.L.R.Moraes,Aphelandra verrugensis,Acanthaceae,,Aphelandra,,verrugensis,,false,false,spec.,Kew Bull. 66(4): 495. 2012 [25 Feb 2012] [epublished],2012,P.L.R.Moraes,urn:lsid:ipni.org:publications:987-2,P.L.R.Moraes@20005694-1@1@aut,,,,Kew Bull.,,,nom. nov.,66(4): 495,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012 [25 Feb 2012],[25 Feb 2012],,[epublished],doi:10.1007/s12225-011-9315-7 [epublished],,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77092371-1,,I.Darbysh.,Barleria aenea,Acanthaceae,,Barleria,,aenea,,false,false,spec.,Kew Bull. 63(2): 264 (-267; figs. 3-4). 2008 [30 Sep 2008],2008,I.Darbysh.,urn:lsid:ipni.org:publications:987-2,I.Darbysh.@20004449-2@1@aut,,,,Kew Bull.,,,tax. nov.,63(2): 264 (-267; figs. 3-4),2655,"Bidgood, Mbago &amp; Vollesen","Tanzania (East Tropical Africa, Africa);Zambia (South Tropical Africa, Africa);",,,true,,,,45km on Namanyere - Karonga road,,,,,,,,,,,,,,,,,,,,,,,,2008 [30 Sep 2008],[30 Sep 2008],,,,,,,,,,false,true,holotype K;isotype BR;isotype C;isotype CAS;isotype DSM;isotype EA;isotype K;isotype NHT,,,
urn:lsid:ipni.org:names:77092370-1,,I.Darbysh.,Barleria aristata,Acanthaceae,,Barleria,,aristata,,false,false,spec.,Kew Bull. 63(2): 261 (-264; figs. 1-2). 2008 [30 Sep 2008],2008,I.Darbysh.,urn:lsid:ipni.org:publications:987-2,I.Darbysh.@20004449-2@1@aut,,,,Kew Bull.,,,tax. nov.,63(2): 261 (-264; figs. 1-2),5027,"Bidgood, Darbyshire, Hoenselaar, Leliyo, Sanchez-Ken &amp; Vollesen","Tanzania (East Tropical Africa, Africa)",,,true,,,,17km on Kitonga - Morogoro road,,,,,,,,,,,,,,,,,,,,,,,,2008 [30 Sep 2008],[30 Sep 2008],,,,,,,,,,false,true,holotype K;isotype BR;isotype CAS;isotype DSM;isotype EA;isotype MO;isotype NHT,,,
urn:lsid:ipni.org:names:77167079-1,,Ensermu,Barleria baluganii,Acanthaceae,,Barleria,,baluganii,,false,false,spec.,Kew Bull. 73(1)-1: 7. 2017 [2018 publ. 23 Dec 2017] [epublished],2017,Ensermu,urn:lsid:ipni.org:publications:987-2,Ensermu@14302-1@1@aut,,,,Kew Bull.,,,tax. nov.,73(1)-1: 7,2347,Mesfin T.&amp; Kagnew G.Y.,"Ethiopia (Northeast Tropical Africa, Africa)",,,true,,,,"Welega Region, Kelem Awraja, c. 13 km S of Dambidollo on the way to Gambella, 1990 m",,,,,,,,,,,,,,,,,,,,,,,,2017 [2018 publ. 23 Dec 2017],[2018 publ. 23 Dec 2017],,[epublished],doi:10.1007/S12225-017-9725-2 [english] The species epithet was proposed by Ensermu (pers. comm.) to commemorate Luigi Balugani.,,,,,,,false,true,holotype ETH;isotype ETH;isotype K,,,
urn:lsid:ipni.org:names:77107540-1,,Malombe & I.Darbysh.,Barleria compacta,Acanthaceae,,Barleria,,compacta,,false,false,spec.,"Kew Bull. 65(3): 445 (443-447; fig. 1, map). 2011 [2010 publ. Jan 2011]",2011,Malombe & I.Darbysh.,urn:lsid:ipni.org:publications:987-2,"I.Darbysh.@20004449-2@2@aut, Malombe@20008570-1@1@aut",,,,Kew Bull.,,,tax. nov.,"65(3): 445 (443-447; fig. 1, map)",1161,Popov,"Somalia (Northeast Tropical Africa, Africa)",,,true,,,,30 (?) miles N of B. Kassia,,,,,,,,,,,,,,,,,,,,,,,,2011 [2010 publ. Jan 2011],[2010 publ. Jan 2011],,,,,,,,,,false,true,holotype EA;isotype K,,,
urn:lsid:ipni.org:names:77167078-1,,I.Darbysh.,Barleria ensermui,Acanthaceae,,Barleria,,ensermui,,false,false,spec.,Kew Bull. 73(1)-1: 6. 2017 [2018 publ. 23 Dec 2017] [epublished],2017,I.Darbysh.,urn:lsid:ipni.org:publications:987-2,I.Darbysh.@20004449-2@1@aut,,,,Kew Bull.,,,tax. nov.,73(1)-1: 6,4999,Gillett,"Somalia (Northeast Tropical Africa, Africa)",,,true,,,,"Plain on Buramo – Hargeisa road, 28 miles E of Buramo",,,,,,,,,,,,,,,,,,,,,,,,2017 [2018 publ. 23 Dec 2017],[2018 publ. 23 Dec 2017],,[epublished],doi:10.1007/S12225-017-9725-2 [english] This species is named in honour of Ensermu Kelbessa.,,,,,,,false,true,holotype K K000963594;isotype K K000963593,,,
urn:lsid:ipni.org:names:77167080-1,,Ensermu & I.Darbysh.,Barleria ferox,Acanthaceae,,Barleria,,ferox,,false,false,spec.,Kew Bull. 73(1)-1: 13. 2017 [2018 publ. 23 Dec 2017] [epublished],2017,Ensermu & I.Darbysh.,urn:lsid:ipni.org:publications:987-2,"I.Darbysh.@20004449-2@2@aut, Ensermu@14302-1@1@aut",,,,Kew Bull.,,,tax. nov.,73(1)-1: 13,3349,Burger,"Ethiopia (Northeast Tropical Africa, Africa)",,,true,,,,"Harerge Region, near Galacia",,,,,,,,,,,,,,,,,,,,,,,,2017 [2018 publ. 23 Dec 2017],[2018 publ. 23 Dec 2017],,[epublished],doi:10.1007/S12225-017-9725-2 [english],,,,,,,false,true,holotype ETH;isotype FT;isotype K,,,
urn:lsid:ipni.org:names:77167050-1,,Ensermu & I.Darbysh.,Barleria gidoleensis,Acanthaceae,,Barleria,,gidoleensis,,false,false,spec.,Kew Bull. 73(1)-1: 3. 2017 [2018 publ. 23 Dec 2017] [epublished],2017,Ensermu & I.Darbysh.,urn:lsid:ipni.org:publications:987-2,"I.Darbysh.@20004449-2@2@aut, Ensermu@14302-1@1@aut",,,,Kew Bull.,,,tax. nov.,73(1)-1: 3,Ash,2264,"Ethiopia (Northeast Tropical Africa, Africa)",,,true,,,,"Gamo Gofa Region: 49 km SW of Arba Minch on hillside leading to Gidole, c. 5 km N of Gidole",,,,,,,,,,,,,,,,,,,,,,,,2017 [2018 publ. 23 Dec 2017],[2018 publ. 23 Dec 2017],,[epublished],doi:10.1007/S12225-017-9725-2 [english],,,,,,,false,true,holotype ETH;isotype K,,,
urn:lsid:ipni.org:names:77137446-1,,I.Darbysh.,Barleria glandulostamina,Acanthaceae,,Barleria,,glandulostamina,,false,false,spec.,Kew Bull. 69(2)-9513: 3. 2014 [1 Jun 2014] [epublished],2014,I.Darbysh.,urn:lsid:ipni.org:publications:987-2,I.Darbysh.@20004449-2@1@aut,,,,Kew Bull.,,,tax. nov.,69(2)-9513: 3,PR 760,Ranirison,"Madagascar (Western Indian Ocean, Africa)",,,true,,,,"Antsiranana, Daraina, forêt d’Antsahabe",,,,,,,,,,,,,,,,,,,,,,,,2014 [1 Jun 2014],[1 Jun 2014],,[epublished],doi:10.1007/s12225-014-9513-1 [english],,,,,,,false,true,holotype K;isotype CAS;isotype Daraina;isotype G;isotype TEF,,,
