id,full name,name author,scientific name,family,infrafamily,genus,infragenus,species,infraspecies,hybrid,hybrid genus,rank,reference,published,publishing author,published in id,author team ids,species author team ids,original remarks,bhl page,published in,bibliographic reference,bibliographic type info,citation type,reference collation,collection number,collector team,distribution,end page,geographic unit,in powo,latitude degrees,latitude minutes,latitude seconds,locality,longitude degrees,longitude minutes,longitude seconds,east or west,north or south,name status,name status bot code,name status comment,name status type,name status qualifier,original basionym,original basionym author team,original cited type,original hybrid parentage,original parent citation taxon name author team,original replaced synonym,original replaced synonym author team,original taxon distribution,original taxon name,original taxon name author team,other links,primary pagination,publication author,publication year full,publication year note,publication year text,reference remarks,remarks,secondary pagination,species author,standardised basionym author flag,standardised publication flag,standardised publishing author flag,start page,suppressed,top copy,type locations,type name,type remarks,volume
urn:lsid:ipni.org:names:77109776-1,,(Baden) Vollesen,Anisotes galanae,Acanthaceae,,Anisotes,,galanae,,false,false,spec.,"Fl. Trop. E. Africa, Acanth. (Part 2) 660. 2010",2010,Vollesen,urn:lsid:ipni.org:publications:20012727-1,"Baden@13129-1@2@bas, Vollesen@11256-1@1@aut",,,,"Fl. Trop. E. Africa, Acanth. (Part 2)",,,comb. et stat. nov.,660,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,,,,,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77109775-1,,(Mildbr.) Vollesen,Anisotes spectabilis,Acanthaceae,,Anisotes,,spectabilis,,false,false,spec.,"Fl. Trop. E. Africa, Acanth. (Part 2) 657. 2010",2010,Vollesen,urn:lsid:ipni.org:publications:20012727-1,"Mildbr.@6468-1@2@bas, Vollesen@11256-1@1@aut",,,,"Fl. Trop. E. Africa, Acanth. (Part 2)",,,comb. nov.,657,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,,,,,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77109722-1,,Ensermu & Vollesen,Asystasia calcicola,Acanthaceae,,Asystasia,,calcicola,,false,false,spec.,"Fl. Trop. E. Africa, Acanth. (Part 2) 460. 2010",2010,Ensermu & Vollesen,urn:lsid:ipni.org:publications:20012727-1,"Ensermu@14302-1@1@aut, Vollesen@11256-1@2@aut",,,,"Fl. Trop. E. Africa, Acanth. (Part 2)",,,tax. nov.,460,24607,Gillet &amp; Watson,"Kenya (East Tropical Africa, Africa)",,,true,,,,15 km N of El Dhere on road from Aden Yabal,,,,,,,,,,,,,,,,,,,,,,,,2010,,,,,,,,,,,false,true,holotype K;isotype EA,,,
urn:lsid:ipni.org:names:77109720-1,,Ensermu & Vollesen,Asystasia minutiflora,Acanthaceae,,Asystasia,,minutiflora,,false,false,spec.,"Fl. Trop. E. Africa, Acanth. (Part 2) 453. 2010",2010,Ensermu & Vollesen,urn:lsid:ipni.org:publications:20012727-1,"Ensermu@14302-1@1@aut, Vollesen@11256-1@2@aut",,,,"Fl. Trop. E. Africa, Acanth. (Part 2)",,,tax. nov.,453,1622,"Bidgood, Abdallah &amp; Vollesen","Tanzania (East Tropical Africa, Africa);Kenya (East Tropical Africa, Africa);",,,true,,,,"Tanzania, Landi District, Rondo Plateau, St. Cyprians College",,,,,,,,,,,,,,,,,,,,,,,,2010,,,,,,,,,,,false,true,holotype K;isotype BR;isotype C;isotype CAS;isotype DSM;isotype EA;isotype MO;isotype NHT;isotype P;isotype UPS;isotype WAG,,,
urn:lsid:ipni.org:names:77109723-1,,Ensermu,Asystasia moorei,Acanthaceae,,Asystasia,,moorei,,false,false,spec.,"Fl. Trop. E. Africa, Acanth. (Part 2) 462. 2010",2010,Ensermu,urn:lsid:ipni.org:publications:20012727-1,Ensermu@14302-1@1@aut,,,,"Fl. Trop. E. Africa, Acanth. (Part 2)",,,nom. nov.,462,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,,,,,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77109721-1,,Ensermu & Vollesen,Asystasia tanzaniensis,Acanthaceae,,Asystasia,,tanzaniensis,,false,false,spec.,"Fl. Trop. E. Africa, Acanth. (Part 2) 453 (-454). 2010",2010,Ensermu & Vollesen,urn:lsid:ipni.org:publications:20012727-1,"Ensermu@14302-1@1@aut, Vollesen@11256-1@2@aut",,,,"Fl. Trop. E. Africa, Acanth. (Part 2)",,,tax. nov.,453 (-454),UMBCP419,Mhoro,"Tanzania (East Tropical Africa, Africa)",,,true,,,,"Morogoro District, Uluguru Mts, Shikurufumi Forest Reserve",,,,,,,,,,,,,,,,,,,,,,,,2010,,,,,,,,,,,false,true,holotype K;isotype K;isotype M,,,
urn:lsid:ipni.org:names:77109714-1,,I.Darbysh.,Barleria athiensis,Acanthaceae,,Barleria,,athiensis,,false,false,spec.,"Fl. Trop. E. Africa, Acanth. (Part 2) 439 (-440). 2010",2010,I.Darbysh.,urn:lsid:ipni.org:publications:20012727-1,I.Darbysh.@20004449-2@1@aut,,,,"Fl. Trop. E. Africa, Acanth. (Part 2)",,,tax. nov.,439 (-440),4003,"Goyder, Masinde, Meve &amp; Whitehouse","Kenya (East Tropical Africa, Africa)",,,true,,,,"Machakos District, Athi Plains",,,,,,,,,,,,,,,,,,,,,,,,2010,,,,Collection year provided by D. Goyder.,,,,,,,false,true,holotype K;isotype EA,,,
urn:lsid:ipni.org:names:77109600-1,,I.Darbysh.,Barleria faulknerae,Acanthaceae,,Barleria,,faulknerae,,false,false,spec.,"Fl. Trop. E. Africa, Acanth. (Part 2) 420. 2010",2010,I.Darbysh.,urn:lsid:ipni.org:publications:20012727-1,I.Darbysh.@20004449-2@1@aut,,,,"Fl. Trop. E. Africa, Acanth. (Part 2)",,,tax. nov.,420,2977,Faulkner,"Tanzania (East Tropical Africa, Africa)",,,true,,,,"Zanzibar, Fumba",,,,,,,,,,,,,,,,,,,,,,,,2010,,,,,,,,,,,false,true,holotype K,,,
urn:lsid:ipni.org:names:77109564-1,,(Fiori) I.Darbysh.,Barleria gracilispina,Acanthaceae,,Barleria,,gracilispina,,false,false,spec.,"Fl. Trop. E. Africa, Acanth. (Part 2) 345. 2010",2010,I.Darbysh.,urn:lsid:ipni.org:publications:20012727-1,"Fiori@18815-1@2@bas, I.Darbysh.@20004449-2@1@aut",,,,"Fl. Trop. E. Africa, Acanth. (Part 2)",,,comb. et stat. nov.,345,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,,,,,,,,,,,false,true,,,,
urn:lsid:ipni.org:names:77109578-1,,I.Darbysh.,Barleria granarii,Acanthaceae,,Barleria,,granarii,,false,false,spec.,"Fl. Trop. E. Africa, Acanth. (Part 2) 401 (-402). 2010",2010,I.Darbysh.,urn:lsid:ipni.org:publications:20012727-1,I.Darbysh.@20004449-2@1@aut,,,,"Fl. Trop. E. Africa, Acanth. (Part 2)",,,tax. nov.,401 (-402),1171,"Bidgood, Mwasumbi &amp; Vollesen","Tanzania (East Tropical Africa, Africa)",,,true,,,,"Dodoma district, 8 km on Kilimatinde-Dodoma road",,,,,,,,,,,,,,,,,,,,,,,,2010,,,,,,,,,,,false,true,holotype K;isotype C;isotype CAS;isotype DSM;isotype EA;isotype NHT,,,
