"accepted","author","kingdom","name","rank","base_url","IPNI_ID","search_name"
1,"Boiss.","Plantae","Cotoneaster granatensis","Species","/taxon/urn:lsid:ipni.org:","722509-1","Cotoneaster granatensis"
1,"Labill.","Plantae","Juniperus drupacea","Species","/taxon/urn:lsid:ipni.org:","262198-1","Juniperus drupacea"
1,"(Pancic) Purk.","Plantae","Picea omorika","Species","/taxon/urn:lsid:ipni.org:","60440467-2","Picea omorika"
1,"Boiss.","Plantae","Prunus ramburii","Species","/taxon/urn:lsid:ipni.org:","730180-1","Prunus ramburii"
1,"Moris","Plantae","Rhamnus persicifolia","Species","/taxon/urn:lsid:ipni.org:","718559-1","Rhamnus persicifolia"
1,"Pau","Plantae","Salix tarraconensis","Species","/taxon/urn:lsid:ipni.org:","778993-1","Salix tarraconensis"
1,"(Vahl) Mast.","Plantae","Tetraclinis articulata","Species","/taxon/urn:lsid:ipni.org:","677193-1","Tetraclinis articulata"
1,"(Lam.) Boiss.","Plantae","Zelkova abelicea","Species","/taxon/urn:lsid:ipni.org:","858071-1","Zelkova abelicea"
1,"de Lannoy ex Carrière","Plantae","Abies numidica","Species","/taxon/urn:lsid:ipni.org:","261601-1","Abies numidica"
1,"Veill. ex Duhamel","Plantae","Arbutus canariensis","Species","/taxon/urn:lsid:ipni.org:","326442-1","Arbutus canariensis"
1,"Pamp.","Plantae","Arbutus pavarii","Species","/taxon/urn:lsid:ipni.org:","326496-1","Arbutus pavarii"
1,"A.Camus","Plantae","Cupressus dupreziana","Species","/taxon/urn:lsid:ipni.org:","676737-1","Cupressus dupreziana"
1,"(Seub.) Antoine","Plantae","Juniperus brevifolia","Species","/taxon/urn:lsid:ipni.org:","262158-1","Juniperus brevifolia"
1,"Webb & Berthel.","Plantae","Juniperus cedrus","Species","/taxon/urn:lsid:ipni.org:","262172-1","Juniperus cedrus"
1,"(Aiton) Baill.","Plantae","Ocotea foetens","Species","/taxon/urn:lsid:ipni.org:","467308-1","Ocotea foetens"
1,"(L.) Spreng.","Plantae","Persea indica","Species","/taxon/urn:lsid:ipni.org:","468067-1","Persea indica"
1,"(Tutin) Knobl.","Plantae","Picconia azorica","Species","/taxon/urn:lsid:ipni.org:","611025-1","Picconia azorica"
1,"(Aiton) DC.","Plantae","Picconia excelsa","Species","/taxon/urn:lsid:ipni.org:","611026-1","Picconia excelsa"
1,"Aiton","Plantae","Rhamnus crenulata","Species","/taxon/urn:lsid:ipni.org:","718292-1","Rhamnus crenulata"
1,"Aiton","Plantae","Rhamnus glandulosa","Species","/taxon/urn:lsid:ipni.org:","718347-1","Rhamnus glandulosa"
1,"DC.","Plantae","Rhamnus integrifolia","Species","/taxon/urn:lsid:ipni.org:","718410-1","Rhamnus integrifolia"
1,"R.Br.","Plantae","Sideroxylon mirmulans","Species","/taxon/urn:lsid:ipni.org:","789753-1","Sideroxylon mirmulans"
1,"L.f.","Plantae","Visnea mocanera","Species","/taxon/urn:lsid:ipni.org:","829744-1","Visnea mocanera"
1,"Grestner","Plantae","Albizia suluensis","Species","/taxon/urn:lsid:ipni.org:","473402-1","Albizia suluensis"
1,"R.A.Dyer","Plantae","Atalaya capensis","Species","/taxon/urn:lsid:ipni.org:","782110-1","Atalaya capensis"
1,"Harv.","Plantae","Bauhinia bowkeri","Species","/taxon/urn:lsid:ipni.org:","481150-1","Bauhinia bowkeri"
1,"(Schinz) Alston","Plantae","Cassipourea flanaganii","Species","/taxon/urn:lsid:ipni.org:","719630-1","Cassipourea flanaganii"
1,"Compton","Plantae","Cassipourea swaziensis","Species","/taxon/urn:lsid:ipni.org:","719690-1","Cassipourea swaziensis"
1,"I.Verd.","Plantae","Erythrophysa transvaalensis","Species","/taxon/urn:lsid:ipni.org:","783054-1","Erythrophysa transvaalensis"
1,"R.A.Dyer","Plantae","Euphorbia sekukuniensis","Species","/taxon/urn:lsid:ipni.org:","348223-1","Euphorbia sekukuniensis"
1,"R.A.Dyer","Plantae","Euphorbia zoutpansbergensis","Species","/taxon/urn:lsid:ipni.org:","348776-1","Euphorbia zoutpansbergensis"
1,"E.Phillips","Plantae","Faurea macnaughtonii","Species","/taxon/urn:lsid:ipni.org:","703639-1","Faurea macnaughtonii"
1,"Bolus","Plantae","Greyia flanaganii","Species","/taxon/urn:lsid:ipni.org:","783194-1","Greyia flanaganii"
1,"R.Br.","Plantae","Leucadendron argenteum","Species","/taxon/urn:lsid:ipni.org:","704724-1","Leucadendron argenteum"
1,"(C.A.Sm.) I.Verd.","Plantae","Nuxia glomerulata","Species","/taxon/urn:lsid:ipni.org:","546827-1","Nuxia glomerulata"
1,"(Chiov.) Robyns & R.Wilczek","Plantae","Ocotea kenyensis","Species","/taxon/urn:lsid:ipni.org:","467375-1","Ocotea kenyensis"
1,"Beard","Plantae","Protea comptonii","Species","/taxon/urn:lsid:ipni.org:","705703-1","Protea comptonii"
1,"E.Mey. ex Meisn.","Plantae","Protea lanceolata","Species","/taxon/urn:lsid:ipni.org:","705896-1","Protea lanceolata"
1,"Codd","Plantae","Pseudosalacia streyi","Species","/taxon/urn:lsid:ipni.org:","162426-1","Pseudosalacia streyi"
1,"Oberm. & Strey","Plantae","Raphia australis","Species","/taxon/urn:lsid:ipni.org:","669499-1","Raphia australis"
1,"Oliv.","Plantae","Rhynchocalyx lawsonioides","Species","/taxon/urn:lsid:ipni.org:","554143-1","Rhynchocalyx lawsonioides"
1,"(Sleumer) Killick","Plantae","Scolopia oreophila","Species","/taxon/urn:lsid:ipni.org:","365938-1","Scolopia oreophila"
1,"Harv.","Plantae","Sterculia alexandri","Species","/taxon/urn:lsid:ipni.org:","825096-1","Sterculia alexandri"
1,"(N.E.Br.) Aubrév.","Plantae","Vitellariopsis dispar","Species","/taxon/urn:lsid:ipni.org:","790048-1","Vitellariopsis dispar"
1,"(G.Bertol.) Chiov.","Plantae","Warburgia salutaris","Species","/taxon/urn:lsid:ipni.org:","146036-1","Warburgia salutaris"
1,"P.H.Allen","Plantae","Cryosophila williamsii","Species","/taxon/urn:lsid:ipni.org:","71215-2","Cryosophila williamsii"
1,"P.H.Allen","Plantae","Roystonea dunlapiana","Species","/taxon/urn:lsid:ipni.org:","222798-2","Roystonea dunlapiana"
1,"L.","Plantae","Juniperus bermudiana","Species","/taxon/urn:lsid:ipni.org:","279056-2","Juniperus bermudiana"
1,"(Vahl) Pillans","Plantae","Phylica polifolia","Species","/taxon/urn:lsid:ipni.org:","717900-1","Phylica polifolia"
1,"(Roxb.) Bremek.","Plantae","Nesohedyotis arborea","Species","/taxon/urn:lsid:ipni.org:","757501-1","Nesohedyotis arborea"
1,"Small","Plantae","Asimina tetramera","Species","/taxon/urn:lsid:ipni.org:","21385-2","Asimina tetramera"
1,"Schweinf. ex Balf.f.","Plantae","Dirachma socotrana","Species","/taxon/urn:lsid:ipni.org:","372126-1","Dirachma socotrana"
1,"N.E.Br.","Plantae","Euphorbia wakefieldii","Species","/taxon/urn:lsid:ipni.org:","348723-1","Euphorbia wakefieldii"
1,"(G.Don) Sol. ex Lindl.","Plantae","Clianthus puniceus","Species","/taxon/urn:lsid:ipni.org:","486457-1","Clianthus puniceus"
1,"Hemsl.","Plantae","Cordeauxia edulis","Species","/taxon/urn:lsid:ipni.org:","487135-1","Cordeauxia edulis"
1,"(Harms) Brenan","Plantae","Gigasiphon macrosiphon","Species","/taxon/urn:lsid:ipni.org:","496529-1","Gigasiphon macrosiphon"
1,"Baill.","Plantae","Adansonia grandidieri","Species","/taxon/urn:lsid:ipni.org:","558630-1","Adansonia grandidieri"
1,"H.Perrier","Plantae","Adansonia suarezensis","Species","/taxon/urn:lsid:ipni.org:","112193-1","Adansonia suarezensis"
1,"(Phil.) Skottsb.","Plantae","Sophora fernandeziana","Species","/taxon/urn:lsid:ipni.org:","518830-1","Sophora fernandeziana"
1,"(Phil.) Skottsb.","Plantae","Sophora masafuerana","Species","/taxon/urn:lsid:ipni.org:","518885-1","Sophora masafuerana"
1,"(Phil.) Skottsb.","Plantae","Sophora toromiro","Species","/taxon/urn:lsid:ipni.org:","518957-1","Sophora toromiro"
1,"Endl.","Plantae","Streblorrhiza speciosa","Species","/taxon/urn:lsid:ipni.org:","519569-1","Streblorrhiza speciosa"
1,"(L.) L.","Plantae","Dracaena draco","Species","/taxon/urn:lsid:ipni.org:","534171-1","Dracaena draco"
1,"Heuglin ex Kotschy & Peyr.","Plantae","Dracaena ombet","Species","/taxon/urn:lsid:ipni.org:","534308-1","Dracaena ombet"
1,"Rock","Plantae","Hibiscadelphus giffardianus","Species","/taxon/urn:lsid:ipni.org:","559885-1","Hibiscadelphus giffardianus"
